"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000269621",2.97678928714479,-0.162548632433071,1.60799574360885,-0.101087725560928,0.919480821715095,0.973394579612739
"ENSG00000286519",11.0016345980704,-0.0776328485839571,0.769246573715912,-0.100920629660974,0.919613466613804,0.973394579612739
"MLN",5.38314519641578,0.126725323372484,1.25719094751384,0.100800378512978,0.919708926362766,0.973394579612739
"INSL6",8.70997254676117,-0.120924149317736,1.19927135685364,-0.100831349491234,0.919684340359483,0.973394579612739
"ZNF33A",1306.75301253727,-0.0113138631172999,0.111833954273064,-0.101166619662531,0.919418194385255,0.973394579612739
"CHPT1",531.801680937598,-0.0163139942724128,0.161553130897956,-0.100982222886893,0.919564572112245,0.973394579612739
"ATRN",1414.05152607424,-0.00936346229969715,0.0928876295113353,-0.100804190492928,0.919705900256226,0.973394579612739
"ADRA1D",7.30026547287422,-0.099471274988991,0.985521249182256,-0.100932653731747,0.919603921531383,0.973394579612739
"ENSG00000284391",3.89017059532858,-0.131398721309927,1.29947590283281,-0.101116704837298,0.919457817469615,0.973394579612739
"TMEM42",280.771495743503,-0.017218982762776,0.17173889339383,-0.100262569663178,0.920135872791639,0.973612609367263
"SGMS2",3.86662268821767,0.166356179915837,1.66191999646358,0.100098789514434,0.920265896334632,0.973612609367263
"ENSG00000290835",634.878044508788,-0.0128513913707707,0.128285376306865,-0.100178147663764,0.920202894368558,0.973612609367263
"ZC3HAV1",3618.91160073433,-0.00600283169656538,0.0597847846460351,-0.100407348326268,0.92002093612989,0.973612609367263
"GATC",552.67331308554,0.0130714812349946,0.130094626971849,0.100476718672041,0.919965865098711,0.973612609367263
"ENSG00000261996",82.078514366011,0.0312399839437259,0.311925448349996,0.100152084765694,0.920223585494196,0.973612609367263
"SPECC1P1",6.13321300652948,0.126474732204723,1.26297048577956,0.100140687077622,0.920232634044271,0.973612609367263
"SMARCA4",13201.2579553988,0.00811829411054893,0.0810308464823829,0.100187699659709,0.920195311129154,0.973612609367263
"ZNF180",174.614280276327,0.0211055523045335,0.210510094882988,0.100259098340462,0.920138628620453,0.973612609367263
"WASIR1",56.5915524679937,0.0527872857292961,0.526533337794717,0.100254403549043,0.920142355743462,0.973612609367263
"IGFBP7",27.6375950310134,-0.0517527702907343,0.517308066113173,-0.100042457639569,0.920310618181135,0.973622792272248
"ENSG00000273965",8.56348532781334,-0.108627293686513,1.08722564520797,-0.0999123725284596,0.920413893646771,0.973657787662259
"PLD3",1493.52210065965,0.0119506140572867,0.119566776619681,0.0999492868767328,0.920384586954957,0.973657787662259
"ENSG00000289122",5.00930956593103,0.132855612772245,1.33128708285683,0.0997948635444936,0.920507185992413,0.973719345914796
"ENSG00000276071",32.4806685389276,0.056210825177816,0.563556716459773,0.0997429780110311,0.920548379132556,0.973725790647306
"LSM1",331.210158065822,0.015969389752634,0.160370268945943,0.0995782438827041,0.920679166827385,0.973827001447306
"ARPC4-TTLL3",20.2763838003255,0.06580259616404,0.661126824892004,0.0995309730092845,0.920716697082439,0.973829567399875
"SOX7",6.32737901256622,-0.11020045779841,1.10789422086616,-0.0994683930314708,0.920766382125206,0.973844988620814
