"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000285974",17.8942878771852,-0.473407032714928,0.580893494503533,-0.814963564223646,0.415093166509847,NA
"SAXO2",37.0522916925477,0.0349811273518845,0.486840963770216,0.0718532949260925,0.942718659172033,NA
"ENSG00000290944",38.6861774563809,-0.97117511404351,0.368277193674433,-2.63707644873078,0.0083623983178651,NA
"ENSG00000278202",4.44567957333415,-0.950638093281263,1.55424847000017,-0.61163842952418,0.540777006417967,NA
"ENSG00000290946",18.8948689874287,0.0648978697454368,0.616944910601783,0.105192325327935,0.916223200437279,NA
"ENSG00000278603",25.5213053478167,-0.0877825613429019,0.465403952913148,-0.188615848218383,0.850393910686452,NA
"GOLGA6L17P",33.9907482865096,-0.814882017155032,0.569366041514854,-1.43120937628623,0.152370217124759,NA
"DNM1P38",4.79238339933174,1.72625093463242,1.37445598307892,1.25595214098123,0.209133322475831,NA
"ENSG00000278013",16.0778200820446,-0.368519218855751,0.575409700688422,-0.640446656382145,0.521882258626077,NA
"CPEB1-AS1",14.0175761175297,-0.716519144413575,0.704033918062977,-1.01773384212077,0.308804459804638,NA
"ENSG00000259707",3.31367076434154,-0.690528973647129,1.23830181649031,-0.557641896710028,0.577088941070464,NA
"ENSG00000228141",12.6697064909854,-1.79779814846377,0.931678597076687,-1.92963341017459,0.0536522760824787,NA
"ACTG1P17",44.5519489371659,0.792722514036146,0.44484991571189,1.78199991960785,0.0747492448435449,NA
"ENSG00000279758",9.95161562131765,0.490118652139149,0.853829984272261,0.574023706320045,0.565951759350158,NA
"ENSG00000259442",7.62409256676943,0.799695437903933,0.948600624315825,0.84302647226351,0.399213638712019,NA
"ENSG00000286817",6.29780856771577,-0.860612165035843,0.89100494570805,-0.96588932438747,0.334099564861987,NA
"SNHG21",47.1748978842299,-0.381823438953362,0.390974195980034,-0.976594984731066,0.328769702999283,NA
"ENSG00000252690",30.7486010517934,0.0269494048959112,0.479123041810762,0.0562473572426421,0.955144755226635,NA
"FSD2",27.9757116872031,0.258544626594236,0.611436677019029,0.422847755641243,0.672406342450535,NA
"ENSG00000259805",9.20772824313793,-0.310695860259071,0.908199586068748,-0.342100860895517,0.732274989601414,NA
"ENSG00000288850",22.381136690811,-0.168502675534676,0.692535807507318,-0.243312582119294,0.807763258105638,NA
"ENSG00000260608",16.364434788221,0.0425662359489461,0.566653495253524,0.0751186330014636,0.940120322718482,NA
"ENSG00000273747",10.6903124695078,1.08895818355453,0.896333203888892,1.2149033181298,0.224402968113775,NA
"ENSG00000259767",10.0209382785338,0.217322570750012,0.81460582638251,0.266782490023543,0.789636636728266,NA
"ENSG00000260351",4.87066021755381,-1.14394088296912,1.39192407386535,-0.821841438371286,0.411167146143315,NA
"FABP5P8",13.8004843080352,1.61572646330549,0.742508087329206,2.17603887537069,0.029552353797644,NA
"ENSG00000286872",14.9020006025707,0.23672620361559,0.729966880483123,0.324297183810469,0.745713051572133,NA
