"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"VIPR2",10.2588011511364,-2.11097927089648,1.04970373537019,-2.01102387251391,0.0443229352226678,0.741094572318294
"PTPN11P2",41.2821420257426,-0.738192095989829,0.366570472415484,-2.01377948181581,0.0440326908546499,0.741094572318294
"SLC25A45",716.324403024396,-0.266100998859093,0.132206143365011,-2.0127733257025,0.0441384813160027,0.741094572318294
"ENSG00000280269",24.0196168504307,0.965601989467735,0.480449113412115,2.00979034514207,0.0444533830811029,0.741094572318294
"ABTB3",959.307263643808,-0.247259002163961,0.122998162874523,-2.01026581523989,0.0444030628991317,0.741094572318294
"ABCB9",226.291889749134,-0.448451659789934,0.223084850294831,-2.01022910877747,0.0444069459224091,0.741094572318294
"CCDC196",112.370216487,0.581500062381483,0.289145039958772,2.01110163419852,0.0443147226127059,0.741094572318294
"FLYWCH1",1286.07223948747,-0.266729674719741,0.132246198033852,-2.01691752719776,0.0437041206586668,0.741094572318294
"CBFB",2470.91571679485,-0.174064168656937,0.0864183934796215,-2.01420278309135,0.0439882476226128,0.741094572318294
"THAP8",240.65828246644,-0.389621426522115,0.193508585073089,-2.01345809218208,0.0440664594942769,0.741094572318294
"ZNF432",140.966651099751,0.454121209176854,0.225518207820958,2.01367868947144,0.0440432788266249,0.741094572318294
"GMEB2",779.422566858664,-0.297391817802316,0.147960663219889,-2.00993839396592,0.0444377095500655,0.741094572318294
"SOD1",3458.22724132369,-0.17596070185488,0.0872616327498873,-2.01647271899238,0.0437505681405747,0.741094572318294
"ZNF74",947.692089480106,-0.241420385509184,0.119726603899364,-2.01643058139451,0.0437549703670146,0.741094572318294
"RAG2",549.435062637243,0.362117654361476,0.180206864632709,2.00945538395294,0.0444888617381044,0.741116832607287
"ENSG00000289394",34.3805690002477,-1.07933211931527,0.537485667891662,-2.00811330197707,0.044631253053168,0.74225943569611
"IFIH1",218.987723226191,-0.316008866745891,0.157437063322805,-2.00720757918327,0.0447275649471376,0.74225943569611
